team;player;position;goals;assists;avg_rating
Manchester City;Gianlugi Donnaruma;GK;0;0;5.85
Manchester City;Matheus Nunes;RB;0;0;6.3
Manchester City;Ruben Dias;CB;0;0;6.7
Manchester City;Abdukodir Khusanov;CB;0;0;6.6
Manchester City;Rayan Ait-Nouri;LB;0;0;6.3
Manchester City;Rodri;DM;0;0;7.1
Manchester City;Nico O'Reilly;CM;2;0;7.35
Manchester City;Bernardo Silva;AM;1;1;6.4
Manchester City;Rayan Cherki;RM;0;0;6.5
Manchester City;Antoine Semenyo;LM;0;1;6.65
Manchester City;Erling Haaland;ST;1;0;6.7
Liverpool;Giorgi Mamardashvili;GK;0;0;6.8
Liverpool;Jeremie Frimpong;RB;0;0;6.7
Liverpool;Ibrahima Konate;CB;0;0;6.4
Liverpool;Virgil Van Dijk;CB;0;0;6.8
Liverpool;Milos Kerkez;LB;1;0;7.85
Liverpool;Ryan Gravenberch;DM;1;1;6.76
Liverpool;Dominik Szoboszlai;CM;2;0;7.76
Liverpool;Alexis Mac Allister;CM;0;1;6.7
Liverpool;Rio Ngumoha;AM;0;1;7.8
Liverpool;Florian Wirtz;AM;0;4;7.4
Liverpool;Cody Gakpo;ST;0;0;6.5
